22	16622840	16622896	+
22	16637019	16637089	+
22	16638578	16638979	+
22	16639297	16640736	+
22	16645694	16645812	-
22	16646447	16646580	-
22	16647167	16647256	+
22	16647604	16647784	+
22	16648526	16653808	+
22	16653891	16654075	-
22	16659496	16659627	-
22	16659857	16659968	-
22	16661475	16661554	-
22	16669461	16669619	-
22	16670216	16670260	-
22	16671089	16671177	-
22	16671517	16671587	-
22	16673599	16673751	-
22	16675122	16676045	-
22	16677192	16677375	-
22	16679291	16679492	-
22	16690102	16690279	-
22	16690572	16690615	-
22	16691974	16692138	-
22	16694577	16694720	-
22	16695003	16695143	-
22	16695241	16695357	-
22	16696777	16698741	-
22	16700313	16700448	-
22	16701153	16701311	-
22	16702042	16702202	-
22	16703992	16704105	-
22	16704308	16704476	-
22	16746868	16747738	-
22	16748275	16748644	-
22	16783411	16784408	-
22	16799770	16800023	-
22	16807738	16808082	-
22	16821606	16821698	-
22	16827473	16828059	+
22	16828541	16829334	+
22	16837521	16837665	+
22	16844398	16844524	+
22	16844864	16845075	+
22	16845918	16846080	+
22	16846304	16846356	+
22	16855803	16856161	+
22	16857618	16860717	-
22	16869477	16869625	+
22	16870775	16871125	+
22	16876217	16876420	-
22	16876551	16876901	-
22	16897444	16897545	+
22	16904218	16904515	-
22	16904640	16904695	-
22	16914234	16914549	-
22	16914930	16914980	-
22	16921442	16921752	-
22	16922124	16922172	-
22	16925951	16926196	-
22	16926377	16926443	-
22	16933520	16933824	-
22	16933948	16934002	-
22	16950085	17034416	-
22	17036569	17037343	+
22	17044872	17044999	+
22	17046345	17046443	+
22	17047323	17047429	+
22	17056376	17056557	+
22	17057072	17060002	+
22	17060594	17060824	+
22	17067820	17070674	+
22	17080700	17081455	+
22	17084953	17085228	+
22	17093611	17093938	-
22	17097061	17097508	+
22	17097796	17097942	+
22	17098774	17098886	+
22	17100354	17100480	+
22	17101995	17102042	+
22	17102138	17102301	+
22	17103493	17103576	+
22	17104725	17104809	+
22	17105590	17105601	+
22	17105852	17105953	+
22	17107726	17107767	+
22	17108306	17115693	+
22	17116298	17121366	-
22	17121585	17122038	+
22	17122568	17122737	+
22	17124654	17124770	+
22	17130361	17130483	+
22	17131614	17132103	+
22	17137510	17138356	-
22	17138549	17138737	-
22	17141058	17143646	-
22	17145023	17145116	-
22	17148447	17148559	-
22	17149541	17149744	-
22	17158456	17159276	-
22	17159383	17159836	+
22	17165208	17165444	-
22	17178789	17181575	-
22	17181819	17182021	-
22	17182603	17182760	-
22	17188338	17188726	-
22	17189783	17190031	-
22	17191682	17191809	-
22	17192935	17193307	+
22	17198598	17198790	-
22	17199548	17199782	-
22	17203562	17203772	-
22	17207070	17207289	-
22	17209355	17209888	-
22	17213515	17213755	+
22	17214063	17214154	+
22	17219355	17219584	-
22	17221726	17221988	-
22	17256858	17258305	-
22	17260789	17261044	-
22	17266522	17266732	-
22	17329033	17329231	+
22	17352880	17353176	-
22	17359948	17360022	+
22	17369365	17369908	+
22	17418696	17419827	+
22	17424387	17424774	-
22	17428272	17428539	+
22	17477092	17477158	+
22	17477587	17477681	+
22	17497402	17497585	+
22	17499409	17499548	+
22	17500630	17500734	+
22	17503081	17503130	+
22	17504846	17505015	+
22	17511812	17511895	+
22	17518675	17519028	-
22	17524117	17524326	+
22	17534743	17534746	+
22	17537102	17537231	+
22	17538519	17538556	+
22	17538639	17538730	+
22	17538992	17539118	+
22	17540411	17540799	+
22	17541838	17541966	+
22	17542156	17543002	+
22	17548147	17549563	+
22	17550242	17550408	+
22	17552030	17552141	+
22	17552834	17558148	+
22	17563438	17563712	+
22	17569700	17570392	+
22	17579744	17581158	+
22	17581333	17582207	-
22	17582250	17582371	-
22	17582562	17582652	+
22	17583415	17583533	+
22	17585264	17585385	-
22	17587135	17587300	+
22	17587866	17589191	-
22	17589589	17589664	+
22	17590094	17590993	+
22	17592135	17592735	-
22	17594528	17595291	-
22	17598000	17598287	-
22	17600026	17600094	-
22	17600679	17601180	-
22	17612613	17612877	-
22	17612975	17613319	-
22	17619033	17619126	-
22	17619460	17619527	-
22	17628602	17628817	-
22	17628854	17628905	+
22	17628915	17629004	+
22	17638101	17638885	+
22	17655661	17655831	+
22	17683213	17683320	+
22	17688985	17689141	+
22	17692355	17692394	+
22	17695737	17696209	+
